city,state_name,lat,lng,id
South Creek,Washington,46.9994,-122.3921,1840042075
Roslyn,Washington,47.2507,-121.0989,1840019842
Sprague,Washington,47.3048,-117.9713,1840021107
Gig Harbor,Washington,47.3352,-122.5968,1840019855
Lake Cassidy,Washington,48.0639,-122.0920,1840041959
Tenino,Washington,46.8537,-122.8607,1840021144
Jamestown,Washington,48.1229,-123.0911,1840037668
Three Lakes,Washington,47.9420,-121.9924,18400183175
Curlew Lake,Washington,48.7311,-118.6663,1840043278
Chain Lake,Washington,47.9038,-121.9861,1840041915
Pateros,Washington,48.0536,-119.8994,1840019763
Rosburg,Washington,46.3076,-123.6344,1840023878
Parkland,Washington,47.1417,-122.4376,1840018453
Birch Bay,Washington,48.9230,-122.7543,1840017289
Ashford,Washington,46.7537,-122.0113,1840017363
Navy Yard City,Washington,47.5508,-122.6655,1840018407
Omak,Washington,48.4228,-119.5159,1840019761
Farmington,Washington,47.0887,-117.0464,1840021140
Buckley,Washington,47.1615,-122.0200,1840018455
Cathcart,Washington,47.8525,-122.1058,1840017324
Poulsbo,Washington,47.7417,-122.6408,1840019822
Anacortes,Washington,48.4878,-122.6292,1840018366
Maplewood,Washington,47.3715,-122.5689,1840037569
Creston,Washington,47.7595,-118.5200,1840021109
Rockford,Washington,47.4513,-117.1307,1840021095
Wishram,Washington,45.6599,-120.9698,1840018528
Centralia,Washington,46.7225,-122.9695,1840018471
South Hill,Washington,47.1203,-122.2848,1840037886
Longview Heights,Washington,46.1796,-122.9577,1840037874
Erlands Point-Kitsap Lake,Washington,47.5973,-122.7021,1840073915
Amboy,Washington,45.9122,-122.4795,1840017396
St. John,Washington,47.0915,-117.5887,1840021139
Dallesport,Washington,45.6316,-121.1749,1840018525
Ketron Island,Washington,47.1569,-122.6343,1840037558
Mesa,Washington,46.5737,-119.0013,1840019887
Fife,Washington,47.2328,-122.3518,1840019853
Moses Lake North,Washington,47.1949,-119.3186,1840074436
Chewelah,Washington,48.2929,-117.7336,1840018360
Grayland,Washington,46.8304,-124.0898,1840017360
Kittitas,Washington,46.9837,-120.4191,1840019843
Camano,Washington,48.1865,-122.4708,1840037492
Monroe North,Washington,47.8830,-121.9882,1840042006
North Bonneville,Washington,45.6425,-121.9689,1840019903
Klickitat,Washington,45.8180,-121.1626,1840017404
Loon Lake,Washington,48.0685,-117.6298,1840023998
Newport,Washington,48.1788,-117.0545,1840019765
Mead,Washington,47.7795,-117.3500,1840023786
Cashmere,Washington,47.5175,-120.4671,1840018368
Aberdeen Gardens,Washington,47.0587,-123.7791,1840037845
Ocean Shores,Washington,46.9685,-124.1521,1840019849
Basin City,Washington,46.5891,-119.1567,1840017379
Wilkeson,Washington,47.1034,-122.0495,1840022310
Meadow Glade,Washington,45.7524,-122.5614,1840018517
Arlington Heights,Washington,48.2119,-122.0630,1840037743
Uniontown,Washington,46.5391,-117.0861,1840022316
Oakesdale,Washington,47.1305,-117.2465,1840022314
West Side Highway,Washington,46.1841,-122.9178,1840037246
Conconully,Washington,48.5571,-119.7513,1840022269
Latah,Washington,47.2822,-117.1557,1840021097
Elma,Washington,47.0055,-123.4112,1840019844
Tieton,Washington,46.7026,-120.7560,1840022319
Southworth,Washington,47.5126,-122.5298,1840023800
Danville,Washington,48.9938,-118.5068,1840037761
Toppenish,Washington,46.3807,-120.3125,1840021151
River Road,Washington,48.0677,-123.1276,1840037861
Geneva,Washington,48.7461,-122.4064,1840017291
Yakima,Washington,46.5923,-120.5496,1840021154
Moxee,Washington,46.5638,-120.3968,1840037381
Edmonds,Washington,47.8114,-122.3533,1840037645
Kalama,Washington,46.0171,-122.8393,1840018502
Laurier,Washington,48.9974,-118.2248,1840026092
Vashon,Washington,47.4122,-122.4726,1840018414
Country Homes,Washington,47.7478,-117.4197,1840017334
Darrington,Washington,48.2546,-121.6029,1840021081
Metaline Falls,Washington,48.8616,-117.3706,1840022277
Lyle,Washington,45.6956,-121.2805,1840017402
Cascade Valley,Washington,47.1371,-119.3272,1840037865
Spangle,Washington,47.4299,-117.3812,1840022290
Methow,Washington,48.1289,-120.0056,1840025237
Waterville,Washington,47.6480,-120.0707,1840022287
Lake Roesiger,Washington,47.9839,-121.9129,1840037853
Milton,Washington,47.2522,-122.3154,1840019857
Krupp,Washington,47.4105,-118.9886,1840074934
Alderton,Washington,47.1718,-122.2192,1840037523
DuPont,Washington,47.1079,-122.6496,1840018457
Edgewood,Washington,47.2309,-122.2832,1840019852
North Puyallup,Washington,47.2015,-122.2742,1840037690
Pacific Beach,Washington,47.2150,-124.1967,1840023817
Manson,Washington,47.8858,-120.1563,1840025246
Brewster,Washington,48.1034,-119.7751,1840018359
Battle Ground,Washington,45.7764,-122.5413,1840018523
Shoreline,Washington,47.7564,-122.3426,1840021118
Cosmopolis,Washington,46.9541,-123.7725,1840018448
Airway Heights,Washington,47.6459,-117.5792,1840018399
Grandview,Washington,46.2431,-119.9084,1840019871
